source,title,url,image,dominant_colors,color_weights,primary_hex,primary_descriptor,elements,mood_keywords,confidence,caption,tags,cluster
Lapa Ninja (Post),OrbitX,https://www.lapa.ninja/post/orbitxpay/,https://cdn.lapa.ninja/assets/images/1x/orbitxpay-thumb.jpg,"[""#060608"", ""#232426""]","{""#060608"": 0.6641, ""#232426"": 0.2409}",#060608,dark neutral,"grid layout, pricing cards, rounded buttons, sidebar, avatar, split screen","modern, futuristic, luxury",0.75,Modern grid layout with dark neutral pricing cards and rounded buttons.,"modern, grid, dark, luxury, pricing-cards, rounded-buttons, sidebar",7
Lapa Ninja (Post),The Coding Train,https://www.lapa.ninja/post/thecodingtrain/,https://cdn.lapa.ninja/assets/images/1x/thecodingtrain-thumb.jpg,"[""#231e22"", ""#9e4b66""]","{""#231e22"": 0.8086, ""#9e4b66"": 0.0865}",#231e22,dark gray,"grid layout, feature list, video background, sidebar, search bar, icon list","cool, retro, futuristic",0.75,Cool retro grid layout with dark gray video background and a prominent sidebar.,"cool, retro, dark-gray, grid, sidebar, video-background",6
Lapa Ninja (Post),Wild Thingz,https://www.lapa.ninja/post/wildthingz/,https://cdn.lapa.ninja/assets/images/1x/wildthingz-thumb.jpg,"[""#0c200d"", ""#b0f43f""]","{""#0c200d"": 0.6062, ""#b0f43f"": 0.163}",#0c200d,dark neutral,"video background, avatar, sidebar, logo, large typography, footer","cool, serious, trustworthy",0.75,Serious layout with dark neutral tones featuring a video background and large typography.,"serious, cool, dark-neutral, video-background, large-typography, trustworthy",6
Lapa Ninja (Post),By Hollie Arnett,https://www.lapa.ninja/post/byholliearnett/,https://cdn.lapa.ninja/assets/images/1x/byholliearnett-thumb.jpg,"[""#f0ede3"", ""#909e90""]","{""#f0ede3"": 0.5241, ""#909e90"": 0.1976}",#f0ede3,light muted yellow,"grid layout, sidebar, large typography, rounded buttons, avatar, icon list","modern, retro, futuristic",0.75,Modern grid layout with light neutral background and large typography.,"modern, grid, light, typography, rounded-buttons, sidebar",3
Lapa Ninja (Post),Browserbase,https://www.lapa.ninja/post/browserbase/,https://cdn.lapa.ninja/assets/images/1x/browserbase-thumb.jpg,"[""#fefefe""]","{""#fefefe"": 0.945}",#fefefe,light neutral,"rounded buttons, search bar, icon list, feature list, grid layout, avatar","professional, modern, futuristic",0.75,Professional grid layout with light neutral background and rounded buttons.,"professional, modern, grid, light, rounded-buttons, clean, futuristic",2
Lapa Ninja (Post),DoThings,https://www.lapa.ninja/post/dothingsnyc-2/,https://cdn.lapa.ninja/assets/images/1x/dothingsnyc-2-thumb.jpg,"[""#a9a9a8"", ""#ffffff""]","{""#a9a9a8"": 0.3884, ""#ffffff"": 0.5018}",#a9a9a8,muted gray,"large typography, sidebar, grid layout, rounded buttons, feature list, pricing cards","creative, modern, artistic",0.69,Modern grid layout with muted gray sidebar and large typography.,"modern, grid, muted-gray, large-typography, creative, sidebar",4
Lapa Ninja (Post),Social Impact Capital,https://www.lapa.ninja/post/social-impact-capital/,https://cdn.lapa.ninja/assets/images/1x/social-impact-capital-thumb.jpg,"[""#fbfbfc"", ""#878cd9""]","{""#fbfbfc"": 0.8042, ""#878cd9"": 0.0758}",#fbfbfc,light neutral,"form, logo, illustration, two-column layout, sidebar, large typography","futuristic, cool, retro",0.75,Two-column layout with light neutral background and large typography featuring an illustration.,"neutral, two-column, illustration, large-typography, futuristic, cool",1
Lapa Ninja (Post),FABRIC,https://www.lapa.ninja/post/fabric-vc-2/,https://cdn.lapa.ninja/assets/images/1x/fabric-vc-2-thumb.jpg,"[""#f1f2f7""]","{""#f1f2f7"": 0.8759}",#f1f2f7,light neutral,"large typography, grid layout, rounded buttons, form, pricing cards, footer","futuristic, modern, vibrant",0.75,Modern grid layout with light neutral background and large typography.,"modern, grid, light, rounded-buttons, typography, pricing-cards",3
Lapa Ninja (Post),Writing Examples,https://www.lapa.ninja/post/writingexamples/,https://cdn.lapa.ninja/assets/images/1x/writingexamples-thumb.jpg,"[""#674740"", ""#fef8ec""]","{""#674740"": 0.2469, ""#fef8ec"": 0.3036}",#674740,muted red,"pricing cards, card list, icon list, grid layout, feature list, sidebar","creative, trustworthy, retro",0.62,Creative grid layout with muted red pricing cards and a structured sidebar.,"creative, retro, muted-red, grid, pricing-cards, sidebar",7
Lapa Ninja (Post),expand.ai,https://www.lapa.ninja/post/expand/,https://cdn.lapa.ninja/assets/images/1x/expand-thumb.jpg,"[""#f1f2ed""]","{""#f1f2ed"": 0.9493}",#f1f2ed,light neutral,"grid layout, large typography, rounded buttons, footer, sidebar, top navigation","minimal, modern, cool",0.75,Minimal grid layout with light neutral tones and large typography.,"minimal, modern, light, grid, typography, rounded-buttons, sidebar",3
Lapa Ninja (Post),Index,https://www.lapa.ninja/post/index-app/,https://cdn.lapa.ninja/assets/images/1x/index-app-thumb.jpg,"[""#fdfdfc""]","{""#fdfdfc"": 0.9519}",#fdfdfc,light neutral,"data table, pricing cards, rounded buttons, grid layout, feature list, chart","minimal, modern, professional",0.75,Minimal grid layout with light neutral background and rounded buttons for interactive elements.,"minimal, modern, light, grid, professional, rounded-buttons",2
Lapa Ninja (Post),BRĒZ,https://www.lapa.ninja/post/drinkbrez-2/,https://cdn.lapa.ninja/assets/images/1x/drinkbrez-2-thumb.jpg,"[""#eeeaf6"", ""#ffffff""]","{""#eeeaf6"": 0.3004, ""#ffffff"": 0.5334}",#eeeaf6,light neutral,"large typography, sidebar, single column, grid layout, video background, two-column layout","futuristic, modern, luxury",0.65,Modern single column layout with light neutral background and large typography.,"modern, grid, light, typography, luxury, futuristic",3
Lapa Ninja (Post),One Manor Place,https://www.lapa.ninja/post/omp/,https://cdn.lapa.ninja/assets/images/1x/omp-thumb.jpg,"[""#fbf4c6"", ""#fefefe""]","{""#fbf4c6"": 0.4618, ""#fefefe"": 0.2607}",#fbf4c6,light bright yellow,"rounded buttons, grid layout, sidebar, pricing cards, feature list, large typography","professional, modern, friendly",0.73,Professional grid layout with light bright yellow accents and rounded buttons.,"modern, friendly, grid, light-yellow, rounded-buttons, pricing-cards, large-typography",7
Lapa Ninja (Post),FISK,https://www.lapa.ninja/post/fiskprojects/,https://cdn.lapa.ninja/assets/images/1x/fiskprojects-thumb.jpg,"[""#f5f6ef"", ""#d5b39c""]","{""#f5f6ef"": 0.5891, ""#d5b39c"": 0.1285}",#f5f6ef,light neutral,"pricing cards, grid layout, sidebar, card list, feature list, icon list","retro, artistic, creative",0.75,Light neutral grid layout featuring pricing cards and a structured sidebar.,"retro, artistic, creative, grid, sidebar, pricing-cards",7
Lapa Ninja (Post),NOBL,https://www.lapa.ninja/post/nobl/,https://cdn.lapa.ninja/assets/images/1x/nobl-thumb.jpg,"[""#f9efe3""]","{""#f9efe3"": 0.9469}",#f9efe3,light neutral,"sidebar, rounded buttons, top navigation, feature list, large typography, centered hero","modern, trustworthy, professional",0.75,Modern layout with light neutral tones featuring a centered hero and rounded buttons.,"modern, professional, light, sidebar, rounded-buttons, typography, hero",1
Lapa Ninja (Post),HeroKit,https://www.lapa.ninja/post/herokit/,https://cdn.lapa.ninja/assets/images/1x/herokit-thumb.jpg,"[""#000000"", ""#fefca5""]","{""#000000"": 0.4625, ""#fefca5"": 0.3775}",#000000,dark neutral,"search bar, rounded buttons, video background, avatar, sidebar, form","futuristic, minimal, professional",0.73,Minimal dark layout featuring a video background and rounded buttons for interaction.,"minimal, dark, futuristic, professional, video-background, rounded-buttons",6
Lapa Ninja (Post),Davide Baratta,https://www.lapa.ninja/post/davidebaratta-2/,https://cdn.lapa.ninja/assets/images/1x/davidebaratta-2-thumb.jpg,"[""#fefefd"", ""#151413""]","{""#fefefd"": 0.6884, ""#151413"": 0.1414}",#fefefd,light neutral,"grid layout, rounded buttons, icon list, large typography, two-column layout, sidebar","modern, minimal, luxury",0.75,Modern two-column layout with dark muted gray typography and rounded buttons.,"modern, minimal, dark-muted-gray, grid, luxury, rounded-buttons",1
Lapa Ninja (Post),Valentin Cheval,https://www.lapa.ninja/post/valentincheval/,https://cdn.lapa.ninja/assets/images/1x/valentincheval-thumb.jpg,"[""#0e0d0f""]","{""#0e0d0f"": 0.8806}",#0e0d0f,dark neutral,"rounded buttons, grid layout, feature list, sidebar, footer, icon list","futuristic, modern, professional",0.75,Modern grid layout with dark neutral tones and rounded buttons.,"modern, grid, dark, rounded-buttons, professional, futuristic",2
Lapa Ninja (Post),Fabric,https://www.lapa.ninja/post/fabric-so-2/,https://cdn.lapa.ninja/assets/images/1x/fabric-so-2-thumb.jpg,"[""#f9f9f9""]","{""#f9f9f9"": 0.9562}",#f9f9f9,light neutral,"large typography, rounded buttons, grid layout, sidebar, search bar, feature list","minimal, modern, creative",0.75,Minimal grid layout with light neutral background and large typography.,"minimal, modern, light, grid, typography, rounded-buttons",3
Lapa Ninja (Post),Oakâme,https://www.lapa.ninja/post/oakame/,https://cdn.lapa.ninja/assets/images/1x/oakame-thumb.jpg,"[""#f5f0eb"", ""#d7d3cd""]","{""#f5f0eb"": 0.495, ""#d7d3cd"": 0.2539}",#f5f0eb,light neutral,"large typography, rounded buttons, pricing cards, form, data table, grid layout","minimal, modern, futuristic",0.75,Minimal grid layout with light neutral background and large typography elements.,"minimal, modern, light, grid, typography, rounded-buttons, clean",3
Lapa Ninja (Post),Genway,https://www.lapa.ninja/post/genway/,https://cdn.lapa.ninja/assets/images/1x/genway-thumb.jpg,"[""#6b5edc"", ""#fcfbfe""]","{""#6b5edc"": 0.3117, ""#fcfbfe"": 0.5206}",#6b5edc,bright blue,"rounded buttons, sidebar, feature list, avatar, centered hero, search bar","futuristic, minimal, modern",0.66,Modern layout with bright blue hero and rounded buttons alongside a sidebar.,"modern, minimal, bright-blue, rounded-buttons, sidebar, futuristic",1
Lapa Ninja (Post),shoyokoko,https://www.lapa.ninja/post/shoyokoko/,https://cdn.lapa.ninja/assets/images/1x/shoyokoko-thumb.jpg,"[""#6e6222"", ""#151015""]","{""#6e6222"": 0.3207, ""#151015"": 0.2919}",#6e6222,bright yellow,"sidebar, video background, rounded buttons, large typography, feature list, split screen","creative, futuristic, cool",0.66,Creative split screen layout with bright yellow video background and large typography.,"creative, futuristic, bright-yellow, split-screen, video-background, rounded-buttons",5
Lapa Ninja (Post),Otherlife,https://www.lapa.ninja/post/otherlife/,https://cdn.lapa.ninja/assets/images/1x/otherlife-thumb.jpg,"[""#3a201a"", ""#fefffe""]","{""#3a201a"": 0.2605, ""#fefffe"": 0.3173}",#3a201a,dark bright red,"large typography, video background, sidebar, split screen, avatar, rounded buttons","creative, modern, artistic",0.63,Creative split screen layout with dark bright red typography and rounded buttons.,"modern, artistic, dark-bright-red, split-screen, rounded-buttons, video-background",5
Lapa Ninja (Post),Humane Ai Pin,https://www.lapa.ninja/post/humane/,https://cdn.lapa.ninja/assets/images/1x/humane-thumb.jpg,"[""#676149"", ""#f2f4f4""]","{""#676149"": 0.2918, ""#f2f4f4"": 0.3447}",#676149,muted yellow,"grid layout, rounded buttons, split screen, feature list, search bar, avatar","modern, futuristic, cool",0.65,Modern split screen layout with muted yellow accents and rounded buttons.,"modern, grid, muted-yellow, rounded-buttons, futuristic, cool",0
Lapa Ninja (Post),Warp,https://www.lapa.ninja/post/warp/,https://cdn.lapa.ninja/assets/images/1x/warp-thumb.jpg,"[""#121313"", ""#242928""]","{""#121313"": 0.5612, ""#242928"": 0.2168}",#121313,dark neutral,"split screen, video background, search bar, sidebar, grid layout, icon list","minimal, modern, professional",0.75,Minimal split screen layout with dark neutral tones and a video background.,"minimal, modern, dark, professional, grid, video-background",5
Lapa Ninja (Post),PARADOX Series,https://www.lapa.ninja/post/paradox-series/,https://cdn.lapa.ninja/assets/images/1x/paradox-series-thumb.jpg,"[""#e1e2e3"", ""#c4c4bb""]","{""#e1e2e3"": 0.555, ""#c4c4bb"": 0.1259}",#e1e2e3,light gray,"grid layout, rounded buttons, two-column layout, data table, feature list, sidebar","modern, luxury, futuristic",0.75,Modern two-column layout with light gray background and rounded buttons.,"modern, grid, light-gray, rounded-buttons, luxury, futuristic",2
Lapa Ninja (Post),Onward,https://www.lapa.ninja/post/thisisonward-2/,https://cdn.lapa.ninja/assets/images/1x/thisisonward-2-thumb.jpg,"[""#f0ede9"", ""#020101""]","{""#f0ede9"": 0.575, ""#020101"": 0.2845}",#f0ede9,light neutral,"large typography, top navigation, split screen, rounded buttons, sidebar, pricing cards","modern, professional, futuristic",0.75,Modern split screen layout with light neutral background and large typography.,"modern, professional, light, split-screen, typography, rounded-buttons, pricing-cards",0
Lapa Ninja (Post),Kreatives,https://www.lapa.ninja/post/kreatives/,https://cdn.lapa.ninja/assets/images/1x/kreatives-thumb.jpg,"[""#fdfbfa"", ""#b7b7b6""]","{""#fdfbfa"": 0.5894, ""#b7b7b6"": 0.1631}",#fdfbfa,light neutral,"sidebar, large typography, grid layout, feature list, rounded buttons, avatar","modern, creative, futuristic",0.75,Modern grid layout with light neutral background and large typography.,"modern, grid, light, typography, creative, rounded-buttons",3
Lapa Ninja (Post),Jack Redley Design,https://www.lapa.ninja/post/jackredley/,https://cdn.lapa.ninja/assets/images/1x/jackredley-thumb.jpg,"[""#070607"", ""#f5f5f5""]","{""#070607"": 0.5375, ""#f5f5f5"": 0.3047}",#070607,dark neutral,"sidebar, large typography, video background, footer, feature list, search bar","modern, futuristic, creative",0.75,Modern layout with dark neutral tones featuring large typography and a video background.,"modern, dark, typography, video, sidebar, creative, futuristic",6
Lapa Ninja (Post),Leya,https://www.lapa.ninja/post/leya/,https://cdn.lapa.ninja/assets/images/1x/leya-thumb.jpg,"[""#fefeff"", ""#edbb9c""]","{""#fefeff"": 0.8885, ""#edbb9c"": 0.0564}",#fefeff,light neutral,"rounded buttons, footer, grid layout, sidebar, search bar, form","minimal, modern, professional",0.75,Minimal grid layout with light neutral background and rounded buttons.,"minimal, modern, professional, grid, rounded-buttons, footer",2
Lapa Ninja (Post),Granola,https://www.lapa.ninja/post/granola/,https://cdn.lapa.ninja/assets/images/1x/granola-thumb.jpg,"[""#fefefd"", ""#eff8db""]","{""#fefefd"": 0.8219, ""#eff8db"": 0.139}",#fefefd,light neutral,"grid layout, sidebar, rounded buttons, feature list, split screen, data table","minimal, professional, modern",0.75,Minimal grid layout with light neutral background and rounded buttons.,"minimal, professional, grid, light, rounded-buttons, modern, sidebar",2
Lapa Ninja (Post),Kino,https://www.lapa.ninja/post/shotwithkino/,https://cdn.lapa.ninja/assets/images/1x/shotwithkino-thumb.jpg,"[""#010102"", ""#1d1d2c""]","{""#010102"": 0.8213, ""#1d1d2c"": 0.1155}",#010102,dark neutral,"video background, top navigation, cta button, split screen, rounded buttons, sidebar","retro, modern, futuristic",0.75,Dark neutral split screen layout with video background and rounded buttons.,"modern, retro, dark, split-screen, video, rounded-buttons",5
Lapa Ninja (Post),Front,https://www.lapa.ninja/post/front/,https://cdn.lapa.ninja/assets/images/1x/front-2-thumb.webp,"[""#24082f"", ""#fefeff""]","{""#24082f"": 0.3883, ""#fefeff"": 0.4338}",#24082f,dark bright purple,"rounded buttons, pricing cards, sidebar, cta button, search bar, footer","modern, professional, cool",0.69,Modern layout with dark bright purple sidebar and rounded buttons.,"modern, professional, dark-purple, rounded-buttons, sidebar, cta",1
Lapa Ninja (Post),Checkmyfile,https://www.lapa.ninja/post/checkmyfile/,https://cdn.lapa.ninja/assets/images/1x/checkmyfile-thumb.webp,"[""#fafaf9"", ""#f09c6e""]","{""#fafaf9"": 0.8092, ""#f09c6e"": 0.0536}",#fafaf9,light neutral,"pricing cards, rounded buttons, sidebar, grid layout, large typography, cta button","minimal, modern, trustworthy",0.75,Minimal grid layout with light neutral background and prominent pricing cards.,"minimal, modern, neutral, pricing-cards, grid, trustworthy",7
Lapa Ninja (Post),Podia,https://www.lapa.ninja/post/podia/,https://cdn.lapa.ninja/assets/images/1x/podia-thumb.webp,"[""#f9f9f8"", ""#b0afcc""]","{""#f9f9f8"": 0.6794, ""#b0afcc"": 0.121}",#f9f9f8,light neutral,"rounded buttons, grid layout, sidebar, pricing cards, feature list, large typography","modern, minimal, professional",0.75,Modern grid layout with light neutral background and rounded buttons.,"modern, minimal, light, grid, rounded-buttons, professional",2
Lapa Ninja (Post),Gev,https://www.lapa.ninja/post/gev/,https://cdn.lapa.ninja/assets/images/1x/gev-thumb.webp,"[""#ffffff"", ""#0e0d12""]","{""#ffffff"": 0.5894, ""#0e0d12"": 0.1618}",#ffffff,light neutral,"rounded buttons, sidebar, search bar, split screen, footer, large typography","professional, modern, futuristic",0.75,Professional split screen layout with dark muted gray sidebar and large typography.,"modern, professional, dark-muted-gray, split-screen, rounded-buttons, typography",0
Lapa Ninja (Post),Monkey Talkie,https://www.lapa.ninja/post/monkeytalkie/,https://cdn.lapa.ninja/assets/images/1x/monkeytalkie-thumb.webp,"[""#040201"", ""#917248""]","{""#040201"": 0.4827, ""#917248"": 0.1787}",#040201,dark neutral,"large typography, sidebar, split screen, video background, rounded buttons, avatar","minimal, modern, creative",0.74,Minimal split screen layout with dark neutral background and large typography.,"minimal, modern, dark, split-screen, video-background, rounded-buttons",5
Lapa Ninja (Post),Busy Status Bar,https://www.lapa.ninja/post/busy-bar/,https://cdn.lapa.ninja/assets/images/1x/busy-bar-thumb.webp,"[""#f2f2f2"", ""#201717""]","{""#f2f2f2"": 0.8195, ""#201717"": 0.0684}",#f2f2f2,light neutral,"grid layout, large typography, rounded buttons, pricing cards, top navigation, sidebar","modern, professional, minimal",0.75,Modern grid layout with light neutral background and large typography.,"modern, professional, minimal, grid, typography, rounded-buttons",3
Lapa Ninja (Post),Polkadot,https://www.lapa.ninja/post/polkadot/,https://cdn.lapa.ninja/assets/images/1x/polkadot-thumb.webp,"[""#f0f4f6"", ""#241f32""]","{""#f0f4f6"": 0.62, ""#241f32"": 0.1398}",#f0f4f6,light neutral,"avatar, sidebar, grid layout, search bar, centered hero, split screen","futuristic, modern, minimal",0.75,Modern split screen layout with light neutral background and centered hero image.,"modern, minimal, light, grid, futuristic, sidebar",0
Lapa Ninja (Post),DivBlockers,https://www.lapa.ninja/post/divblockers/,https://cdn.lapa.ninja/assets/images/1x/divblockers-thumb.webp,"[""#0a0b0b"", ""#f7f7f7""]","{""#0a0b0b"": 0.8452, ""#f7f7f7"": 0.0784}",#0a0b0b,dark neutral,"rounded buttons, sidebar, top navigation, avatar, large typography, icon list","minimal, modern, bold",0.75,Minimal layout with dark neutral tones featuring large typography and a sidebar.,"minimal, modern, dark, typography, sidebar, rounded-buttons",1
Lapa Ninja (Post),Buddy,https://www.lapa.ninja/post/buddy-works-2/,https://cdn.lapa.ninja/assets/images/1x/buddy-works-2-thumb.webp,"[""#f9f9fb""]","{""#f9f9fb"": 0.9497}",#f9f9fb,light neutral,"search bar, rounded buttons, grid layout, footer, feature list, data table","minimal, modern, cool",0.75,Minimal grid layout with light neutral background and rounded buttons.,"minimal, modern, light, grid, rounded-buttons, clean",2
Lapa Ninja (Post),August Health,https://www.lapa.ninja/post/augusthealth/,https://cdn.lapa.ninja/assets/images/1x/augusthealth-thumb.webp,"[""#fcfbf9"", ""#cbb1c6""]","{""#fcfbf9"": 0.8272, ""#cbb1c6"": 0.0769}",#fcfbf9,light neutral,"rounded buttons, sidebar, feature list, search bar, grid layout, pricing cards","modern, minimal, professional",0.75,Modern grid layout with light neutral background and rounded buttons.,"modern, minimal, neutral, grid, rounded-buttons, professional",2
Lapa Ninja (Post),Mach Studio,https://www.lapa.ninja/post/mach-studio/,https://cdn.lapa.ninja/assets/images/1x/mach-studio-thumb.webp,"[""#0b0c05"", ""#98e2e0""]","{""#0b0c05"": 0.4176, ""#98e2e0"": 0.2056}",#0b0c05,dark neutral,"large typography, video background, top navigation, sidebar, split screen, feature list","futuristic, artistic, modern",0.71,Modern split screen layout with dark neutral tones and large typography.,"modern, split-screen, dark-neutral, artistic, video-background, feature-list",5
Lapa Ninja (Post),Vazzi,https://www.lapa.ninja/post/vazzi/,https://cdn.lapa.ninja/assets/images/1x/vazzi-thumb.webp,"[""#88a89d"", ""#579895""]","{""#88a89d"": 0.3904, ""#579895"": 0.384}",#88a89d,muted green,"large typography, video background, top navigation, sidebar, footer, avatar","modern, creative, cool",0.7,Modern layout featuring muted green video background with large typography and a sidebar.,"modern, creative, muted-green, video-background, typography, sidebar",6
Lapa Ninja (Post),Mathieu Crepel,https://www.lapa.ninja/post/mathieu-crepel/,https://cdn.lapa.ninja/assets/images/1x/mathieu-crepel-thumb.webp,"[""#353a47"", ""#0b0e1a""]","{""#353a47"": 0.4096, ""#0b0e1a"": 0.3141}",#353a47,dark muted blue,"top navigation, rounded buttons, grid layout, large typography, footer, sidebar","modern, minimal, trustworthy",0.7,Modern grid layout with dark muted blue theme and large typography.,"modern, minimal, dark-muted-blue, grid, typography, trustworthy, rounded-buttons",4
Lapa Ninja (Post),Unichain,https://www.lapa.ninja/post/unichain/,https://cdn.lapa.ninja/assets/images/1x/unichain-thumb.webp,"[""#f905c0"", ""#fdfcfd""]","{""#f905c0"": 0.2952, ""#fdfcfd"": 0.6721}",#f905c0,bright magenta,"large typography, pricing cards, grid layout, data table, rounded buttons, sidebar","modern, minimal, futuristic",0.65,Modern grid layout with bright magenta typography and rounded buttons.,"modern, minimal, bright-magenta, grid, typography, rounded-buttons",7
Lapa Ninja (Post),Jonathan Grado,https://www.lapa.ninja/post/jonathangrado/,https://cdn.lapa.ninja/assets/images/1x/jonathangrado-thumb.webp,"[""#080f13"", ""#e5e1dc""]","{""#080f13"": 0.7286, ""#e5e1dc"": 0.2262}",#080f13,dark neutral,"split screen, sidebar, avatar, video background, search bar, large typography","minimal, creative, artistic",0.75,Minimal split screen layout with dark neutral background and large typography.,"minimal, creative, dark, split-screen, typography, sidebar",5
Lapa Ninja (Post),GP Communication,https://www.lapa.ninja/post/gaelleperrin/,https://cdn.lapa.ninja/assets/images/1x/gaelleperrin-thumb.webp,"[""#fefefe"", ""#1b1710""]","{""#fefefe"": 0.5719, ""#1b1710"": 0.117}",#fefefe,light neutral,"single column, large typography, grid layout, rounded buttons, sidebar, video background","modern, luxury, minimal",0.75,Modern single column layout with dark accents and large typography.,"modern, minimal, dark, grid, luxury, rounded-buttons",1
Lapa Ninja (Post),Diana Toloza,https://www.lapa.ninja/post/dianatoloza/,https://cdn.lapa.ninja/assets/images/1x/dianatoloza-thumb.webp,"[""#ffffff"", ""#16110c""]","{""#ffffff"": 0.6865, ""#16110c"": 0.1255}",#ffffff,light neutral,"grid layout, rounded buttons, icon list, footer, sidebar, search bar","minimal, modern, calm",0.75,Minimal grid layout with light neutral background and rounded buttons.,"minimal, modern, calm, grid, rounded-buttons, footer, sidebar",2
Lapa Ninja (Post),Arcade AI,https://www.lapa.ninja/post/arcade-ai/,https://cdn.lapa.ninja/assets/images/1x/arcade-ai-thumb.webp,"[""#f4f3f3"", ""#b69d86""]","{""#f4f3f3"": 0.4383, ""#b69d86"": 0.1746}",#f4f3f3,light neutral,"rounded buttons, grid layout, feature list, search bar, sidebar, icon list","minimal, modern, luxury",0.72,Minimal grid layout with light neutral background and rounded buttons.,"minimal, modern, light, grid, rounded-buttons, luxury",2
Lapa Ninja (Post),Kit,https://www.lapa.ninja/post/kit/,https://cdn.lapa.ninja/assets/images/1x/kit-thumb.webp,"[""#1f1e1e"", ""#f1eee8""]","{""#1f1e1e"": 0.4524, ""#f1eee8"": 0.4351}",#1f1e1e,dark gray,"grid layout, rounded buttons, large typography, sidebar, split screen, feature list","modern, professional, minimal",0.73,Modern grid layout with dark gray tones and large typography elements.,"modern, professional, dark-gray, grid, minimal, typography",4
Lapa Ninja (Post),Shopify,https://www.lapa.ninja/post/shopify-2/,https://cdn.lapa.ninja/assets/images/1x/shopify-2-thumb.webp,"[""#020202"", ""#614e44""]","{""#020202"": 0.5149, ""#614e44"": 0.1998}",#020202,dark neutral,"feature list, search bar, sidebar, rounded buttons, avatar, icon list","modern, minimal, cool",0.75,Modern layout with dark neutral tones featuring a sidebar and rounded buttons.,"modern, minimal, dark, sidebar, rounded-buttons, feature-list",1
Lapa Ninja (Post),Pass App,https://www.lapa.ninja/post/pass-app/,https://cdn.lapa.ninja/assets/images/1x/pass-app-thumb.webp,"[""#e7ebea"", ""#affc81""]","{""#e7ebea"": 0.7724, ""#affc81"": 0.1095}",#e7ebea,light gray,"grid layout, pricing cards, cta button, rounded buttons, data table, large typography","futuristic, modern, cool",0.75,Modern grid layout with light gray background and prominent pricing cards.,"modern, grid, light-gray, pricing-cards, rounded-buttons, large-typography",7
Lapa Ninja (Post),poolside,https://www.lapa.ninja/post/poolside-ai/,https://cdn.lapa.ninja/assets/images/1x/poolside-ai-thumb.webp,"[""#121212"", ""#161527""]","{""#121212"": 0.64, ""#161527"": 0.3256}",#121212,dark neutral,"grid layout, rounded buttons, search bar, sidebar, footer, video background","modern, minimal, futuristic",0.75,Modern grid layout with dark neutral tones and rounded buttons.,"modern, minimal, dark, grid, rounded-buttons, video-background",2
Lapa Ninja (Post),Sketch,https://www.lapa.ninja/post/sketch-5/,https://cdn.lapa.ninja/assets/images/1x/sketch-5-thumb.webp,"[""#e5dbee"", ""#f7f6f7""]","{""#e5dbee"": 0.2846, ""#f7f6f7"": 0.5516}",#e5dbee,light bright purple,"rounded buttons, grid layout, split screen, search bar, video background, feature list","modern, futuristic, minimal",0.64,Modern split screen layout with light bright purple background and rounded buttons.,"modern, minimal, light-purple, grid, rounded-buttons, futuristic",0
Lapa Ninja (Post),Family Style,https://www.lapa.ninja/post/wearefamilystyle/,https://cdn.lapa.ninja/assets/images/1x/wearefamilystyle-thumb.webp,"[""#fffeff"", ""#c1b3b3""]","{""#fffeff"": 0.7527, ""#c1b3b3"": 0.084}",#fffeff,light neutral,"rounded buttons, sidebar, large typography, grid layout, feature list, search bar","cool, modern, minimal",0.75,Modern grid layout with light neutral background and large typography.,"modern, minimal, grid, light, rounded-buttons, sidebar, typography",3
Lapa Ninja (Post),Social Web Foundation,https://www.lapa.ninja/post/socialwebfoundation/,https://cdn.lapa.ninja/assets/images/1x/socialwebfoundation-thumb.webp,"[""#fefefe"", ""#cecec9""]","{""#fefefe"": 0.8334, ""#cecec9"": 0.0501}",#fefefe,light neutral,"sidebar, grid layout, rounded buttons, search bar, feature list, icon list","modern, minimal, friendly",0.75,Modern grid layout with light neutral background and rounded buttons.,"modern, minimal, light, grid, friendly, rounded-buttons",2
Lapa Ninja (Post),Patch,https://www.lapa.ninja/post/patch-io/,https://cdn.lapa.ninja/assets/images/1x/patch-io-thumb.webp,"[""#fefefd"", ""#131412""]","{""#fefefd"": 0.7429, ""#131412"": 0.1694}",#fefefd,light neutral,"sidebar, search bar, split screen, video background, rounded buttons, avatar","futuristic, trustworthy, minimal",0.75,Minimal split screen layout with dark muted gray video background and rounded buttons.,"minimal, futuristic, dark-muted-gray, split-screen, video-background, rounded-buttons",5
Lapa Ninja (Post),Nod Coding,https://www.lapa.ninja/post/nodcoding/,https://cdn.lapa.ninja/assets/images/1x/nodcoding-thumb.webp,"[""#fcfbf7"", ""#fabc88""]","{""#fcfbf7"": 0.6972, ""#fabc88"": 0.1352}",#fcfbf7,light neutral,"large typography, sidebar, grid layout, pricing cards, split screen, feature list","modern, cool, bold",0.75,Modern grid layout with light neutral background and bold typography.,"modern, grid, light, typography, sidebar, pricing-cards",3
Lapa Ninja (Post),Kernel,https://www.lapa.ninja/post/eatkernel/,https://cdn.lapa.ninja/assets/images/1x/eatkernel-thumb.webp,"[""#ba6d2f"", ""#fafbf9""]","{""#ba6d2f"": 0.1886, ""#fafbf9"": 0.4525}",#ba6d2f,bright orange,"rounded buttons, grid layout, sidebar, large typography, feature list, split screen","bold, modern, creative",0.59,Modern split screen layout with bold orange accents and large typography.,"modern, bold, orange, grid, rounded-buttons, creative, sidebar",0
